	Portugues	Українська	日本語	한국어	UI language name																				
39	Voce quer vender seu carro por	Ви хочете продати свою машину	次の金額で車を売りますか。	다음 금액으로 차량을 판매합니다:	UI																				
40	Voce quer comprar este carro?	Ви хочете купити цю машину?	この車を買いますか？	이 차량을 구입하시겠습니까?	UI																				
41	Voce nao tem dinheiro suficiente.	У вас бракує грошей.	お金が足りません。	돈이 부족합니다.	UI																				
42	Tem certeza que voce quer vender sua casa por	Ви впевнені, що хочете продати свій дім?	本当に次の金額で家を売っていいですか？	다음 금액으로 주택을 판매합니다:	UI																				
43	Voce quer comprar este imovel?	Ви хочете купити це?	これを買いますか？	정말 매입하시겠습니까?	UI																				
44	Sem carro	Немає автомобіля	車なし	차량 없음	UI																				
45	Carro classe leve usado	Б/в легкого класу	中古軽自動車	중고 경차	UI																				
46	Carro classe leve	Легкий клас	軽自動車	경차	UI																				
47	Carro compacto usado	Б/в компакт	中古コンパクトカー	중고 소형차	UI																				
48	Carro compacto	Компакт	コンパクトカー	소형차	UI																				
49	Carro de classe media	Середній клас	大型車	중형차	UI																				
50	Carro de classe alta	Бізнес-клас	エグゼクティブカー	중형차	UI																				
51	Carro de Luxo	Представницький клас	高級車	고급차	UI																				
52	Sem casa	Нема будинку	住宅なし	주택 없음	UI																				
53	Studio flat 1R - pequeno studio flat no apartamento	Квартира-студія 1R - маленька квартира-студія в апартаментах	ワンルーム1R - 小さなワンルームマンション	원룸 - 소형 원룸	UI																				
54	Studio flat 1K - pequeno studio flat com cozinha no apartamento	Квартира-студія 1K - маленька квартира-студія з кухнею в апартаментах	ワンルーム1K - キッチン付きの小さなワンルームマンション	주방 원룸 - 주방이 있는 소형 원룸	UI																				
55	Studio flat 1D - pequeno studio flat com cozinha separada no apartamento	Квартира-студія 1D - невелика квартира-студія з окремою кухнею в апартаментах.	ワンルーム1D - 独立したキッチンの付いた小さなワンルームマンション	주방 원룸 - 별도의 공간에 주방이 있는 소형 원룸	UI																				
56	Apartamento 1DK - flat com uma cozinha larga no apartamento	Квартира 1Dk - квартира з великою кухнею в апартаментах	マンション1DK - ダイニングキッチン付き	주방 아파트 - 별도의 공간에 큰 주방이 있는 아파트	UI																				
57	Apartamento 1LDK - flat com 1 quarto, sala de estar e todas as comodidades no apartamento	Квартира 1LDK - квартира з кімнатою, вітальнею і усіма зручностями в апартаментах	マンション1LDK - 居室1、 リビング、ダイニングキッチン付き	거실 아파트 - 별도의 공간에 방, 거실과 필수 가전이 있는 아파트	UI																				
58	Apartamento 2LDK - flat com 2 quartos, sala de estar e todas as comodidades no apartamento	Квартира 2LDK  - квартира з двома кімнатами, вітальнею і усіма зручностями в апартаментах	マンション2LDK - 居室2、 リビング、ダイニングキッチン付き	거실 투룸 아파트 - 별도의 공간에 방 2개, 거실과 필수 가전이 있는 아파트	UI																				
59	Apartamento 3LDK - flat com 3 quartos, sala de estar e todas as comodidades no apartamento	Квартира 3LDK - квартира з трьома кімнатами, вітальнею і усіма зручностями в апартаментах	マンション3LDK - 居室3、リビング、ダイニングキッチン付き	거실 쓰리룸 아파트 - 별도의 공간에 방 3개, 거실과 필수 가전이 있는 아파트	UI																				
60	Casa 3LDK - casa separada com 3 quartos, sala de estar e todas as comodidades	Будинок 3LDK - приватний будинок з трьома кімнатами, вітальнею і усіма зручностями	戸建3LDK - 居室3、 リビング、ダイニングキッチン付き	거실 쓰리룸 주택 - 별도의 공간에 방 3개, 거실과 필수 가전이 있는 주택	UI																				
61	Casa 4LDK - casa separada de 2 andares com quatro quartos, sala de estar e todas as comodidades	Двоповерховий будинок 4ldk - двоповерховий приватний будинок з чотирма кімнатами, вітальнею і усіма зручностями	戸建4LDK - 居室4、 リビング、ダイニングキッチン付きの2階建て	거실 포룸 주택 - 별도의 공간에 방 4개, 거실과 필수 가전이 있는 2층 주택	UI																				
62	Mansao 5LDK - uma grande mansao no pais	Особняк 5ldk - великий маєток за містом	豪邸5LDK - 田舎の大きな邸宅	파이브룸 저택 - 교외의 대형 저택	UI																				
63	Parabens, sua saude esta em boa forma!	Поздоровляю, ви здорові!	ご安心ください。健康状態は良好です！	축하합니다, 건강을 되찾았습니다!	Doctor message																				
64	Falido	Банкрот	破産	파산	UI																				
65	O banco leiloou o seu carro <car_name>, entao voce recebeu {prpr}.	Банк виставив вашу машину <car_name> на аукціон, завдяки чому ви отримали {prpr}.	銀行があなたの車<car_name>を競売にかけたので、 あなたは{prpr}を受け取りました。	은행에서 진행한 차량 <car_name>의 경매로 {prpr}의 금액을 받았습니다.	UI																				
66	O banco leiloou a sua moradia <name_house>, entao voce recebeu {prpr}.	Банк виставив ваш будинок <name_house> на аукціон, завдяки чому ви отримали {prpr}.	銀行があなたの家<name_house>を競売にかけたので、 あなたは{prpr}を受け取りました。	은행에서 진행한 주택 <name_house>의 경매로 {prpr}의 금액을 받았습니다.	UI																				
67	Voce teve que vender todas as suas açoes da empresa <pepe2> por {iz} para pagar a divida.	Ви були вимушені продати усі свої акції компанії <pepe2> за {iz} щоб розплатитися з боргами.	借金返済のために<pepe2>社の全株式を{iz}で売却せざるを得ませんでした。	부채를 청산하고자 <pepe2> 주식을 {iz}에 전량 매각했습니다.	UI																				
68	Voce nao podera pagar suas dividas. O jogo acabou.	Ви не зможете розплатитися з боргами. Гра закінчена.	借金の返済ができません。ゲームオーバーです。	부채를 감당할 수 없습니다. 게임은 끝났습니다.	UI																				
69	Voce esta livre para ir. Bem vindo de volta a liberdade!	Ви вільні. З поверненням на волю!	あなたは自由の身です。 また自由になれて良かったですね。	구속에서 풀려나 다시 자유의 몸이 되었습니다.	UI																				
70	Voce passou a noite fora. Voce tem pneumonia bilateral. Va para o hospital agora!	Ви ночували на вулиці і отримали двостороннє запалення легенів. Негайно до лікарні!	外で一晩過ごしたら、 両側性の肺炎にかかってしまいました。すぐに病院に行ってください！	밖에서 노숙을 하다가 폐렴에 걸렸습니다. 당장 병원으로 가세요!	Doctor message																				
71	Amigo	Друг	友人	친구	UI																				
72	Oi, obrigado por me emprestar dinheiro! Vou te pagar de volta tudo e ate <momomo>% mais!	Привіт, спасибі за те, що позичив гроші! Повертаю тобі все і навіть на <momomo>% більше!	お金を貸してくれてありがとう！全額返して、その上<momomo>%分も払うよ！	안녕, 돈 빌려줘서 고마워! 이자까지 <momomo>% 쳐서 갚을게!	Friend message																				
73	O telefone esta tocando, voce quer atender?	Лунає дзвінок, чи хочете ви узяти трубку?	電話が鳴っていますが、出ますか？	전화가 울립니다. 받으시겠습니까?	UI																				
74	Yakuza	Якудза	ヤクザ	야쿠자	UI																				
75	Voce nao pode simplesmente sair do negocio. Infelizmente, nao exigimos mais seus serviços. Adeus.	Не можна просто так вийти з бізнесу. На жаль, ми більше не потребуємо ваших послуг. Прощавайте.	勝手に商売から抜けてもらっては困りますな。残念だが、もうあんたのサービスは必要ないよ。失礼。	멋대로 일을 관두면 안 되지. 안타깝지만 더는 쓸모가 없겠군. 잘 가라고.	Yakuza mesage																				
76	Noticias	Новини	ニュース	뉴스	UI																				
77	Famoso empresario <global.myname> foi encontrado morto em sua casa. Acredita-se que ele esteve envolvido e financiado pelo trafico de drogas.	Відомий бізнесмен <global.myname> був знайдений убитим у себе удома. Вважається, що він був пов'язаний з наркобізнесом і поплатився за це.	有名実業家の<global.myname>氏が自宅で死亡しているのが発見されました。麻薬ビジネスに関わり、高い代償を払わされたものとみられています。	유명 사업가 <global.myname> 씨가 자택에서 변사체로 발견되었습니다. 조사에 따르면 피해자는 마약 거래에 금전적으로 연루되었다고 합니다.	News																				
78	Eu nao vou esconder, eu vim para mata-lo. Mas estou de bom humor, por isso estou lhe dando a oportunidade de comprar uma vida pacifica.#O preço - {global.vykup}.#Voce aceita?	Не приховуватиму, я прийшов убити тебе. Але у мене гарний настрій, тому я даю тобі можливість купити собі мирне життя.# Я оцінив її у {global.vykup}.#Згода?	隠すつもりはない。あんたを殺しに来た。だが、今日は機嫌がいいから、あんたに平穏な暮らしを買うチャンスをやろう。値段は{global.vykup}だ。払うか？	돌려 말하진 않겠어. 난 널 죽이러 갈 거야. 하지만 마침 내가 기분이 좀 좋아서 그냥 목숨 값만 받는 선에서 그칠 수도 있겠는데.#딱 {global.vykup}만 받지.#어쩔래?	Yakuza mesage																				
79	Tribunal	Суд	裁判所	법정	UI																				
80	Hoje houve um julgamento do seu caso. Voce foi considerado inocente. E como vitima de circunstancias, voce so tera que pagar uma pequena multa - {shtraff}.	Сьогодні відбувся суд у вашій справі. Вас визнали безневинною жертвою обставин, тому лише зобов'язують виплатити невеликий штраф - {shtraff}.	今日は裁判がありました。 あなたは無罪となりました。境遇の犠牲者として、 わずかな罰金を支払うだけで済みます - {shtraff}。	오늘 재판에서는 무죄가 선고되었습니다. 또한 사건의 피해자라는 점이 참작되어 {shtraff}의 벌금만 부과되었습니다.	UI in-game message																				
81	Hoje houve um julgamento do seu caso. Voce foi considerado culpado e sentenciado a pagar uma multa - {shtraff}.	Сьогодні відбувся суд у вашій справі. Вас визнали винними і засудили до виплати штрафу - {shtraff}.	今日は裁判がありました。 あなたは有罪判決を受け、 罰金の支払いを言い渡されました - {shtraff}。	오늘 재판에서는 부분적 유죄가 선고되었습니다. {shtraff}의 벌금형이 내려졌습니다.	UI in-game message																				
82	Hoje houve um julgamento do seu caso. Voce foi considerado completamente culpado, entao todo o seu dinheiro sera confiscado e começara a cumprir sua sentença dentro de dois anos.	Сьогодні відбувся суд у вашій справі. Вас визнали повністю винними, тому усі ваші гроші вилучаються, а ви вирушаєте відбувати ув'язнення на два роки.	今日は裁判がありました。 あなたは完全に有罪となり、 所持金はすべて没収され、 2年間服役することになります。	오늘 재판에서는 완전한 유죄가 선고되었습니다. 전 재산이 몰수되며 2년 이하의 징역을 살게 됩니다.	UI in-game message																				
83	Feliz Ano Novo!	З Новим Роком!	明けましておめでとうございます。	새해 복 많이 받으세요!	UI																				
84	Feliz Natal!	З Різдвом!	メリークリスマス！	메리 크리스마스!	UI																				
85	A misteriosa empresa <compppp> sofre pesadas perdas. O que acontecera em seguida ?	Загадкова компанія <compppp> має великі збитки. Що ж коїться?	謎の会社、<compp>社は大きな赤字を出しています。 この先どうなるのでしょう？	알 수 없는 회사 <compppp>에서 크나큰 손실을 겪고 있습니다. 이제 무슨 일이 벌어 질까요?	News																				
86	A misteriosa empresa <compppp> declarou falencia. Estendemos nossas condolencias a todos os acionistas.	Загадкова компанія <compppp> визнана банкротом. Співчуваємо усім акціонерам.	謎の会社、<compppp>社が破産宣告を受けました。株主の皆様にお見舞い申し上げます。	알 수 없는 회사 <compppp>에서 파산을 선언했습니다. 모든 주주 여러분께 심심한 유감을 전합니다.	News																				
87	Escandalo	Скандал	スキャンダル	스캔들	UI																				
88	Estranhos rumores na empresa <scandal> levaram a uma mudança brusca no preço das açoes.	Дивні чутки в компанії <scandal> привели до різкої зміни курсу акцій.	会社の<scandal>に関する奇妙な噂が流れ、 株価が急変しました。	<scandal>에 관련된 스캔들이 퍼지면서 주가가 급변할 것으로 예상됩니다.	News																				
89	Relatorio mensal	Звіт за місяць	月次報告	월간 보고서	UI																				
90	Impostos pagos:	Податки сплачені:	納税額：	세금 납부:	UI																				
91	Dividas pagas:	Борг сплачений:	債務返済額：	부채 상환:	UI																				
92	Viva!	Ура!	やった！	만세!	UI																				
93	Total:	"Всього: "	合計：	총계:	UI																				
94	Relatorio de Dividendos	Звіт про дивіденди	配当金報告	배당금 보고서	UI																				
95	Voce tem um serio problema de saude! Nos te colocaremos em um hospital ate voce estar totalmente recuperado.	У вас серйозні проблеми із здоров'ям! Ми поміщаємо вас в стаціонар до повного одужання.	あなたは深刻な健康問題を抱えています！完治するまで入院してもらいます。	건강 상태가 심각합니다! 완전히 회복될 때까지 병원에 입원해야 합니다.	Doctor message																				
96	Voce esta sob muito estresse e pressao ultimamente. Se voce continuar a viver sob estresse, isso inevitavelmente te levara a problemas de saude.	Останнім часом ви надто багато перенапружуєтеся і нервуєте. Якщо ви і далі продовжите жити в стресі це неминуче приведе до проблем із здоров'ям.	最近ストレスとプレッシャーが多すぎます。このままストレスを抱えた生活を続ければ、健康を害するのは必至です。	최근 지나친 스트레스와 압박을 받고 계신 것 같습니다. 계속 스트레스를 받는다면 결국 건강이 악화되고 말 것입니다.	Doctor message																				
97	Nos percebemos transaçoes suspeitas em sua conta. Apos a revisao, a origem ilegal dos fundos recebidos foi confirmada.##Penalidade -	Ми помітили підозрілі транзакції на вашому рахунку. Після перевірки підтвердилося нелегальне джерело отриманих коштів.##Штраф -	あなたの口座で不審な取引を確認しました。調査の結果、不正な資金の流入が確認されました。	계좌에 수상한 돈이 이체되었습니다. 조사 결과 이 자금의 출처는 불법적인 것으로 나타났습니다.##페널티 -	In-game message																				
98	O governo decidiu alterar a taxa de imposto de renda. Agora e igual a <nalogtext>%.	Уряд вирішив змінити ставку податку на доходи. Тепер вона складає <nalogtext>%.	政府は所得税の税率変更を決定しました。所得税は<nalogtext>%になりました。	정부에서 소득세율을 <nalogtext>%로 변경하기로 결정했습니다.	News																				
99	Voce sera multado por estacionar no local errado - {shtraf}.	Штраф за стоянку в недозволеному місці - {shtraf}.	駐車違反で罰金が科されます - {shtraf}。	불법 주정차 벌금이 부과되었습니다. - {shtraf}	In-game message																				
100	Mas noticias	Погані новини	残念なお知らせ	나쁜 소식	UI																				
101	Sua carteira foi roubada. E uma coisa boa que nao havia muito dinheiro - {shtraf}.	У вас вкрали гаманець. На щастя, там було не так вже багато - {shtraf}.	財布が盗まれました。財布の中に大金が入っていなくて幸いでした - {shtraf}。	지갑을 소매치기 당했습니다. 그나마 현금이 별로 없었다는 게 다행이군요. - {shtraf}	In-game message																				
102	Chamada telefonica	Телефонний дзвінок	電話	전화	UI																				
103	Nos oferecemos a voce a venda de nossas açoes a um preço com desconto. Queremos faze-lo sem barulho, para nao causar medos em parte dos investidores.#Nos oferecemos a voce <colich> açoes por {cena2} (preço na bolsa de valores: {cena1}).#Voce esta pronto para vir e assinar todos os papeis necessarios?	У нас є пропозиція передати вам пакет наших акцій за зниженою ціною. Ми хочемо це зробити без галасу, щоб не викликати побоювань з боку інвесторів.#Пропонуємо вам <colich> акцій за {cena2} (ціна на біржі: {cena1}).#Ви готові приїхати до нас для підписання усіх необхідних паперів?	当社の株を割引価格でお譲りします。投資家の皆様に不安を招かないよう、このことは内々に進めたいと考えています。#<colich>株を{cena2}（証券取引所での価格：{cena1}）でご提供します。#必要書類にご署名いただくために、弊社までお越しいただけますか？	귀하께 주식 할인 발행을 제안드리고자 합니다. 하지만 투자자들의 우려를 사지 않고자 조용히 진행하고 싶습니다.#<colich>주를 {cena2}에 제공하고자 합니다. (현 주가: {cena1})#계약서를 쓰시겠습니까?	a call from a partner																				
104	Mamae	Мама	お母さん	엄마	UI																				
105	Se o problema puder ser resolvido, nao ha necessidade de se preocupar com isso; Se nao puder ser resolvido, e inutil se preocupar com isso.	Якщо проблему можна розв'язати, то не варто про неї турбуватися, а якщо її вирішити не можна, то турбуватися про неї марно.	解決できる問題なら悩む必要はないし、 解決できないなら悩むだけ無駄です。	해결할 수 있는 문제라면 걱정할 필요가 없고, 해결할 수 없는 문제 역시 걱정할 필요가 없다.	Random phone call message																				
106	Um vizinho ligou e pediu para que eu mantenha o som das teclas do meu teclado baixo durante a noite.	Дзвонив сусід, просив тихіше клацати клавішами щоночі.	近所の人から電話があって「夜はキーボードのカタカタ音をもっと静かにしてほしい」と言われました。	이웃집에서 밤중에 키보드 좀 조용히 쳐 달라고 부탁했습니다.	In-game message																				
107	Chamada anonima	Анонімний дзвінок	匿名の電話	익명의 전화	UI																				
108	Pesquisa anonima	Анонімне опитування	匿名のアンケート	익명의 조사	UI																				
109	Por que temos sapatos esquerdo e direito, mas sem meias esquerda e direita?	Чому у нас є лівий і правий черевик, але немає лівої і правої шкарпетки?	靴には左右があるのに、靴下には左右がないのはなぜだと思う？	신발은 오른발 왼발이 따로 있는데 왼발은 왜 오른발 왼발이 따로 없는 걸까?	Phrases from a friend on the phone																				
110	Show	Концерт	コンサート	콘서트	UI																				
111	Voce teve um otimo momento no show do seu cantor pop favorito.	Ви дуже добре відпочили на концерті улюбленою поп-виконавиці.	お気に入りのポップ歌手のコンサートでとびっきり楽しい時間を過ごしました。	좋아하는 가수의 콘서트를 재미있게 즐겼습니다.	In-game message																				
112	Uau!	Отакої!	うわぁぁ！	와!	Ui																				
113	Voce ganhou na loteria!	Ви виграли в лотереї !	宝くじが当たりました！	복권에 당첨됐습니다!	In-game message																				
114	Carta	Лист	手紙	편지	UI																				
115	Seu parente distante morreu. De acordo com a vontade dele, voce recebeu {shtraf}.	У вас помер далекий родич. Згідно заповіту ви отримали {shtraf}.	遠い親戚が亡くなりました。遺言により、あなたは{shtraf}を受け取ります。	먼 친척이 세상을 떠났다고 합니다. 유언장에 따라 {shtraf}을 상속받았습니다.	In-game message from letter																				
116	Lamentamos informa-lo de que seu tio faleceu. Ele deixou a voce {shtraf}.	Зі скорботою повідомляємо, що у вас помер дядько. Він заповідав вам {shtraf}.	残念ながら、あなたの叔父が亡くなりました。あなたに {shtraf}が遺贈されました。	삼촌이 세상을 떠났다는 유감스러운 소식입니다. {shtraf}의 유산을 남겨 주셨습니다.	In-game message from letter																				
117	Lamentamos informa-lo de que seu bisavo faleceu. De acordo com a vontade dele, voce recebera {shtraf}.	Зі скорботою повідомляємо, що у вас помер прапрадідусь. Згідно із заповітом, ви отримуєте {shtraf}.	残念ながら、あなたの曾祖父が亡くなりました。遺言により、 あなたは{shtraf}を受け取ります。	증조부께서 세상을 떠났다는 유감스러운 소식입니다. {shtraf}의 유산을 남겨 주셨습니다.	In-game message from letter																				
118	Lamentamos informa-lo de que sua bisavo faleceu. De acordo com a vontade dela, voce recebera {shtraf}.	Зі скорботою повідомляємо, що у вас померла прапрабабуся. Згідно із заповітом, ви отримуєте {shtraf}.	残念ながら、あなたの曾祖母が亡くなりました。 遺言により、あなたは{shtraf}を受け取ります。	증조모께서 세상을 떠났다는 유감스러운 소식입니다. {shtraf}의 유산을 남겨 주셨습니다.	In-game message from letter																				
119	Estou pagando minha velha divida!##Kazuhara.  {shtraf}	Повертаю свій старий борг!##Казухара. {shtraf}	「昔の借金を返します！」##カズハラ。{shtraf}	옛날에 빌린 돈 갚는다!##카즈하라가.  {shtraf}	In-game message from letter																				
120	De acordo com uma pesquisa nacional, <cats> foram eleitos os mais fofos!	Згідно зі всенародним голосуванням, наймилішими тваринами визнані <cats>!	全国アンケートで最もかわいい動物には<cats>が選ばれました！	전국에서 설문 조사를 진행한 결과, <cats>가 가장 귀여운 동물로 꼽혔습니다!	News																				
121	gatinhos	кошенята	ネコ	고양이	<cats> from line 121																				
122	cachorrinhos	цуцики	イヌ	개	<cats> from line 121																				
123	papagaios	папужки	オウム	앵무새	<cats> from line 121																				
124	pandas	пандочки	パンダ	팬더	<cats> from line 121																				
125	coalas	коали	コアラ	코알라	<cats> from line 121																				
126	raposas fenecas	фенеки	フェネック	사막여우	<cats> from line 121																				
127	focas	тюленята	アザラシ	물개	<cats> from line 121																				
128	alpacas	альпаки	アルパカ	알파카	<cats> from line 121																				
129	Templo	Храм	寺	신사	UI																				
130	Voce rezou no templo. Voce se sentiu em paz.	Ви помолилися в храмі та відчули спокій.	お寺でお祈りしたので、穏やかな気持ちになりました。	신사에서 기도를 올리고 마음의 평안을 찾았습니다.	In-game message																				
131	Carteiro	Листоноша	郵便配達員	집배원	UI																				
132	Voce recebeu a fatura do seu pedido de videogame -	Вам прийшов рахунок за замовлені відеоігри -	注文したビデオゲームの請求書が届きました。	주문했던 비디오 게임의 청구서를 받았습니다.	In-game message																				
133	Encanador	Сантехнік	配管工	배관공	UI																				
134	Parece que voce tem um vazamento aqui. O reparo custara {shtraf}.	Здається, у вас тут теча. Ремонт коштуватиме {shtraf}.	水道管に水漏れがあるようです。 修理に{shtraf}かかります。	집에 누수가 발생했습니다. 수리비는 {shtraf}입니다.	In-game message																				
135	Update	Оновлення	アップデート	업데이트	UI																				
136	Pro seu PC funcionar, voce precisara de novo hardware. Isto te custara {shtraf}.	Час оновлювати комп'ютер! Це обійдеться вам в {shtraf}.	パソコンを使うには新しいハードウェアが必要です。これには{shtraf}かかります。	PC로 일을 하려면 새 컴퓨터가 필요합니다. 비용은 {shtraf}입니다.	In-game message																				
137	Surpresa	Несподіванка	サプライズ	뜻밖의 횡재	UI																				
138	Voce encontrou uma fatura de {shtraf} no chao.	Ви знайшли на землі купюру в {shtraf} єн!	地面に{shtraf}円札が落ちているのを見つけました。	땅에서 {shtraf} 지폐를 주웠습니다.	In-game message																				
139	Problema	Проблема	問題	문제	UI																				
140	Parece que seu computador esta quebrado. Repara-lo custara {shtraf}.	Здається, ваш комп'ютер зламався. Ремонт коштуватиме {shtraf}.	パソコンが壊れているようです。修理には{shtraf}かかります。	컴퓨터가 고장 났습니다. 수리비는 {shtraf}입니다.	In-game message																				
141	Fim de semana	Вихідний	週末	주말	UI																				
142	Milagre	Диво	奇跡	기적	UI																				
143	A empresa <companynm> libera um produto de sucesso que obtem um bom lucro. As açoes da empresa aumentam bruscamente no mercado de açoes.	Компанія <companynm> випускає успішний продукт, який приносить високий прибуток. Це піднімає вартість акцій компанії на біржі.	<companynm>社はヒット製品を発売し、利益を上げています。これにより、 同社の株価は株式市場で急上昇しています。	<companynm> 사에서 내놓은 신제품이 성공적인 수익을 거두었습니다. 덕분에 주가가 가파른 상승세를 보여 주고 있습니다.	News																				
144	Parte do Conselho de Administraçao da <companynm> chegou com um plano astuto para enganar seu diretor. Eles emitiram novas açoes com um preço baixo e taxa de propriedade para todos os acionistas.	Частина ради директорів компанії <companynm> провертає хитру аферу в обхід директора, і випускає нові акції, зменшивши їх ціну і частку власності у всіх акціонерів.	<companynm>の取締役会の一部が、取締役をだます巧妙な計画を思いつきました。全株主の株価と持ち株比率を引き下げる新株を発行しました。	<companynm> 사의 이사회에서 교묘한 계획으로 이사들을 속여 신주를 발행하면서 전체 주주들의 주가와 지분율을 낮추었습니다.	News																				
145	Ultimas noticias!	Термінові новини!	速報！	속보입니다!	UI																				
146	Um dos acionistas majoritarios da empresa <companynm> decidiu vender suas açoes, de modo a direcionar abaixo o seu preço.	Один з великих акціонерів компанії <companynm> вирішує продати свої акції, чим обвалює їх курс.	<companynm>の大株主の一人が持ち株売却を決定したため、株価が下落しました。	<companynm> 사의 대주주 한 명이 주식을 매각하면서 주가가 하락하고 있습니다.	News																				
147	Voce esta preso por ajudar e favorecer o trafico de drogas em <companname>.	Ви заарештовані за пособництво торгівлі наркотиками в компанії <companname>.	あなたは<compa>での麻薬密売幇助の容疑で逮捕されました。	귀하는 <companname>사의 마약 밀매를 조력 및 방조한 혐의로 체포되었습니다.	In-game message																				
148	Policia liquidou uma empresa ilegal, a <companname>.##A policia esta investigando os acionistas envolvidos nessas atividades.	Поліцією була ліквідована нелегальна компанія <companname>. Поліція перевіряє причетність до цієї діяльності усіх акціонерів.	警察は違法会社<companname>を清算しました。##警察はこれらの活動に関与した株主を調査しています。	경찰에서 <companname> 사를 불법 혐의로 청산했습니다. 또한 이 행위에 연루된 주주들을 수사 중입니다.	In-game message																				
149	Boa tarde. Estamos investigando um cartel de drogas. Temos muitas evidencias contra a empresa <companname>, da qual voce e co-proprietario. Espere uma intimaçao. Vejo voce mais tarde. ##Talvez voce devesse dar um suborno a eles?	Добридень. Ми ведемо розслідування з приводу злочинного наркокартеля. У нас є безліч доказів проти компанії <companname>, співвласником якої є ви. Чекайте повістки до суду. До зустрічі. ##Може запропонувати їм хабар?	こんにちは。私たちは麻薬カルテルを捜査しています。あなたが共同経営者となっている会社<companname>に対して多くの証拠を持っています。召喚状が届くのを待ってください。それではまたお会いしましょう。##賄賂を渡したほうがよくないですか？	안녕하세요. 마약 수사반입니다. 귀하가 공동 소유주인 <companname> 사를 수사하면서 물증을 다수 확보한 상태입니다. 곧 영장이 발부될 테니 협조 부탁 드립니다. ##어쩌면 상대를 매수할 수 있지 않을까요?	Police																				
